Iteration;Amplitude
831;6,11E-05
832;6,11E-05
833;6,07E-05
834;6,02E-05
835;5,98E-05
836;5,97E-05
837;5,90E-05
838;5,88E-05
839;5,84E-05
840;5,80E-05
841;5,77E-05
842;5,74E-05
843;5,69E-05
844;5,66E-05
845;5,64E-05
846;5,62E-05
847;5,57E-05
848;5,55E-05
849;5,56E-05
850;5,53E-05
851;5,54E-05
852;5,54E-05
853;5,53E-05
854;5,53E-05
855;5,56E-05
856;5,56E-05
857;5,55E-05
858;5,59E-05
859;5,59E-05
860;5,64E-05
861;5,64E-05
862;5,68E-05
863;5,70E-05
864;5,75E-05
865;5,77E-05
866;5,80E-05
867;5,84E-05
868;5,85E-05
869;5,89E-05
870;5,94E-05
871;5,95E-05
872;6,01E-05
873;6,02E-05
874;6,08E-05
875;6,13E-05
876;6,16E-05
877;6,21E-05
878;6,22E-05
879;6,27E-05
880;6,31E-05
881;6,33E-05
882;6,38E-05
883;6,42E-05
884;6,45E-05
885;6,50E-05
886;6,52E-05
887;6,57E-05
888;6,61E-05
889;6,66E-05
890;6,69E-05
891;6,72E-05
892;6,77E-05
893;6,79E-05
894;6,83E-05
895;6,87E-05
896;6,90E-05
897;6,95E-05
898;6,98E-05
899;7,02E-05
900;7,05E-05
901;7,08E-05
902;7,12E-05
903;7,17E-05
904;7,18E-05
905;7,21E-05
906;7,24E-05
907;7,27E-05
908;7,29E-05
909;7,30E-05
910;7,31E-05
911;7,33E-05
912;7,33E-05
913;7,32E-05
914;7,33E-05
915;7,32E-05
916;7,32E-05
917;7,29E-05
918;7,26E-05
919;7,25E-05
920;7,23E-05
921;7,20E-05
922;7,18E-05
923;7,16E-05
924;7,12E-05
925;7,10E-05
926;7,07E-05
927;7,05E-05
928;7,01E-05
929;6,97E-05
930;6,95E-05
931;6,91E-05
932;6,86E-05
933;6,85E-05
934;6,80E-05
935;6,76E-05
936;6,73E-05
937;6,70E-05
938;6,65E-05
939;6,63E-05
940;6,57E-05
941;6,53E-05
942;6,50E-05
943;6,46E-05
944;6,42E-05
945;6,40E-05
946;6,35E-05
947;6,33E-05
948;6,26E-05
949;6,22E-05
950;6,19E-05
951;6,15E-05
952;6,13E-05
953;6,08E-05
954;6,04E-05
955;6,01E-05
956;5,95E-05
957;5,94E-05
958;5,89E-05
959;5,86E-05
960;5,81E-05
961;5,78E-05
962;5,73E-05
963;5,72E-05
964;5,69E-05
965;5,65E-05
966;5,63E-05
967;5,62E-05
968;5,58E-05
969;5,58E-05
970;5,54E-05
971;5,56E-05
972;5,54E-05
973;5,55E-05
974;5,54E-05
975;5,58E-05
976;5,57E-05
977;5,59E-05
978;5,60E-05
979;5,63E-05
980;5,66E-05
981;5,68E-05
982;5,73E-05
983;5,74E-05
984;5,78E-05
985;5,80E-05
986;5,83E-05
987;5,87E-05
988;5,90E-05
989;5,93E-05
990;5,97E-05
991;6,00E-05
992;6,04E-05
993;6,06E-05
994;6,13E-05
995;6,17E-05
996;6,17E-05
997;6,22E-05
998;6,29E-05
999;6,28E-05
1000;6,32E-05
1001;6,34E-05
1002;6,40E-05
1003;6,43E-05
1004;6,48E-05
1005;6,51E-05
1006;6,56E-05
1007;6,60E-05
1008;6,61E-05
1009;6,66E-05
1010;6,71E-05
1011;6,72E-05
1012;6,78E-05
1013;6,81E-05
1014;6,86E-05
1015;6,89E-05
1016;6,91E-05
1017;6,95E-05
1018;6,98E-05
1019;7,03E-05
1020;7,07E-05
1021;7,08E-05
1022;7,13E-05
1023;7,17E-05
1024;7,20E-05
1025;7,24E-05
1026;7,26E-05
1027;7,29E-05
1028;7,29E-05
1029;7,33E-05
1030;7,33E-05
1031;7,36E-05
1032;7,35E-05
1033;7,36E-05
1034;7,34E-05
1035;7,32E-05
1036;7,34E-05
1037;7,32E-05
1038;7,31E-05
1039;7,26E-05
1040;7,23E-05
1041;7,20E-05
1042;7,18E-05
1043;7,16E-05
1044;7,11E-05
1045;7,09E-05
1046;7,08E-05
1047;7,05E-05
1048;7,02E-05
1049;6,97E-05
1050;6,92E-05
1051;6,92E-05
1052;6,87E-05
1053;6,84E-05
1054;6,80E-05
1055;6,78E-05
1056;6,73E-05
1057;6,69E-05
1058;6,65E-05
1059;6,63E-05
1060;6,61E-05
1061;6,57E-05
1062;6,54E-05
1063;6,49E-05
1064;6,46E-05
1065;6,42E-05
1066;6,35E-05
1067;6,32E-05
1068;6,30E-05
1069;6,25E-05
1070;6,21E-05
1071;6,20E-05
1072;6,12E-05
1073;6,09E-05
1074;6,05E-05
1075;6,02E-05
1076;6,00E-05
1077;5,95E-05
1078;5,95E-05
1079;5,89E-05
1080;5,86E-05
1081;5,80E-05
1082;5,79E-05
1083;5,74E-05
1084;5,72E-05
1085;5,69E-05
1086;5,64E-05
1087;5,63E-05
1088;5,61E-05
1089;5,60E-05
1090;5,56E-05
1091;5,56E-05
1092;5,54E-05
1093;5,58E-05
1094;5,58E-05
1095;5,59E-05
1096;5,60E-05
1097;5,63E-05
1098;5,62E-05
1099;5,66E-05
1100;5,69E-05
1101;5,72E-05
1102;5,74E-05
1103;5,75E-05
1104;5,82E-05
1105;5,82E-05
1106;5,86E-05
1107;5,88E-05
1108;5,91E-05
1109;5,97E-05
1110;5,99E-05
1111;6,02E-05
1112;6,05E-05
1113;6,09E-05
1114;6,14E-05
1115;6,18E-05
1116;6,23E-05
1117;6,24E-05
1118;6,29E-05
1119;6,32E-05
1120;6,36E-05
1121;6,42E-05
1122;6,46E-05
1123;6,48E-05
1124;6,49E-05
1125;6,54E-05
1126;6,58E-05
1127;6,62E-05
1128;6,64E-05
1129;6,68E-05
1130;6,73E-05
1131;6,77E-05
1132;6,81E-05
1133;6,84E-05
1134;6,88E-05
1135;6,91E-05
1136;6,94E-05
1137;7,00E-05
1138;7,02E-05
1139;7,05E-05
1140;7,10E-05
1141;7,12E-05
1142;7,16E-05
1143;7,22E-05
1144;7,27E-05
1145;7,28E-05
1146;7,31E-05
1147;7,36E-05
1148;7,37E-05
1149;7,38E-05
1150;7,39E-05
1151;7,42E-05
1152;7,41E-05
1153;7,38E-05
1154;7,39E-05
1155;7,38E-05
1156;7,38E-05
1157;7,35E-05
1158;7,33E-05
1159;7,31E-05
1160;7,31E-05
1161;7,25E-05
1162;7,24E-05
1163;7,21E-05
1164;7,20E-05
1165;7,17E-05
1166;7,12E-05
1167;7,09E-05
1168;7,07E-05
1169;7,02E-05
1170;7,00E-05
1171;6,98E-05
1172;6,92E-05
1173;6,89E-05
1174;6,88E-05
1175;6,82E-05
1176;6,79E-05
1177;6,75E-05
1178;6,71E-05
1179;6,71E-05
1180;6,63E-05
1181;6,62E-05
1182;6,59E-05
1183;6,55E-05
1184;6,51E-05
1185;6,46E-05
1186;6,42E-05
1187;6,38E-05
1188;6,35E-05
1189;6,33E-05
1190;6,30E-05
1191;6,25E-05
1192;6,22E-05
1193;6,19E-05
1194;6,17E-05
1195;6,11E-05
1196;6,05E-05
1197;6,06E-05
1198;6,00E-05
1199;5,95E-05
1200;5,93E-05
1201;5,90E-05
1202;5,86E-05
1203;5,82E-05
1204;5,79E-05
1205;5,75E-05
1206;5,72E-05
1207;5,70E-05
1208;5,70E-05
1209;5,67E-05
1210;5,64E-05
1211;5,65E-05
1212;5,65E-05
1213;5,67E-05
1214;5,66E-05
1215;5,66E-05
1216;5,66E-05
1217;5,69E-05
1218;5,71E-05
1219;5,73E-05
1220;5,76E-05
1221;5,77E-05
1222;5,83E-05
1223;5,84E-05
1224;5,88E-05
1225;5,90E-05
1226;5,94E-05
1227;5,97E-05
1228;6,00E-05
1229;6,04E-05
1230;6,04E-05
1231;6,10E-05
1232;6,13E-05
1233;6,15E-05
1234;6,20E-05
1235;6,24E-05
1236;6,28E-05
1237;6,31E-05
1238;6,36E-05
1239;6,41E-05
1240;6,42E-05
1241;6,45E-05
1242;6,50E-05
1243;6,51E-05
1244;6,58E-05
1245;6,62E-05
1246;6,64E-05
1247;6,68E-05
1248;6,72E-05
1249;6,74E-05
1250;6,79E-05
1251;6,82E-05
1252;6,88E-05
1253;6,89E-05
1254;6,95E-05
1255;6,99E-05
1256;7,01E-05
1257;7,05E-05
1258;7,10E-05
1259;7,12E-05
1260;7,16E-05
1261;7,20E-05
1262;7,24E-05
1263;7,28E-05
1264;7,32E-05
1265;7,35E-05
1266;7,39E-05
1267;7,41E-05
1268;7,44E-05
1269;7,45E-05
1270;7,46E-05
1271;7,48E-05
1272;7,47E-05
1273;7,46E-05
1274;7,46E-05
1275;7,46E-05
1276;7,44E-05
1277;7,43E-05
1278;7,42E-05
1279;7,39E-05
1280;7,35E-05
1281;7,37E-05
1282;7,35E-05
1283;7,30E-05
1284;7,26E-05
1285;7,24E-05
1286;7,22E-05
1287;7,19E-05
1288;7,15E-05
1289;7,13E-05
1290;7,08E-05
1291;7,04E-05
1292;7,00E-05
1293;6,96E-05
1294;6,94E-05
1295;6,90E-05
1296;6,86E-05
1297;6,83E-05
1298;6,79E-05
1299;6,75E-05
1300;6,70E-05
1301;6,67E-05
1302;6,65E-05
1303;6,60E-05
1304;6,57E-05
1305;6,54E-05
1306;6,49E-05
1307;6,47E-05
1308;6,44E-05
1309;6,37E-05
1310;6,35E-05
1311;6,30E-05
1312;6,26E-05
1313;6,23E-05
1314;6,17E-05
1315;6,16E-05
1316;6,13E-05
1317;6,09E-05
1318;6,04E-05
1319;6,01E-05
1320;5,98E-05
1321;5,95E-05
1322;5,92E-05
1323;5,89E-05
1324;5,86E-05
1325;5,80E-05
1326;5,77E-05
1327;5,77E-05
1328;5,74E-05
1329;5,71E-05
1330;5,73E-05
1331;5,70E-05
1332;5,68E-05
1333;5,70E-05
1334;5,69E-05
1335;5,70E-05
1336;5,71E-05
1337;5,75E-05
1338;5,73E-05
1339;5,77E-05
1340;5,80E-05
1341;5,84E-05
1342;5,86E-05
1343;5,88E-05
1344;5,91E-05
1345;5,95E-05
1346;5,98E-05
1347;6,02E-05
1348;6,04E-05
1349;6,07E-05
1350;6,10E-05
1351;6,17E-05
1352;6,21E-05
1353;6,23E-05
1354;6,24E-05
1355;6,28E-05
1356;6,35E-05
1357;6,38E-05
1358;6,41E-05
1359;6,45E-05
1360;6,50E-05
1361;6,54E-05
1362;6,55E-05
1363;6,61E-05
1364;6,64E-05
1365;6,67E-05
1366;6,70E-05
1367;6,74E-05
1368;6,78E-05
1369;6,83E-05
1370;6,86E-05
1371;6,88E-05
1372;6,94E-05
1373;6,96E-05
1374;7,01E-05
1375;7,03E-05
1376;7,08E-05
1377;7,10E-05
1378;7,15E-05
1379;7,17E-05
1380;7,22E-05
1381;7,24E-05
1382;7,28E-05
1383;7,34E-05
1384;7,37E-05
1385;7,38E-05
1386;7,43E-05
1387;7,46E-05
1388;7,48E-05
1389;7,50E-05
1390;7,51E-05
1391;7,50E-05
1392;7,48E-05
1393;7,52E-05
1394;7,52E-05
1395;7,50E-05
1396;7,47E-05
1397;7,47E-05
1398;7,47E-05
1399;7,42E-05
1400;7,40E-05
1401;7,36E-05
1402;7,36E-05
1403;7,31E-05
1404;7,29E-05
1405;7,28E-05
1406;7,26E-05
1407;7,22E-05
1408;7,20E-05
1409;7,16E-05
1410;7,11E-05
1411;7,07E-05
1412;7,06E-05
1413;7,00E-05
1414;6,99E-05
1415;6,91E-05
1416;6,89E-05
1417;6,86E-05
1418;6,80E-05
1419;6,79E-05
1420;6,74E-05
1421;6,70E-05
1422;6,66E-05
1423;6,61E-05
1424;6,59E-05
1425;6,57E-05
1426;6,51E-05
1427;6,48E-05
1428;6,44E-05
1429;6,41E-05
1430;6,36E-05
1431;6,34E-05
1432;6,30E-05
1433;6,25E-05
1434;6,22E-05
1435;6,20E-05
1436;6,15E-05
1437;6,10E-05
1438;6,06E-05
1439;6,03E-05
1440;6,01E-05
1441;5,94E-05
1442;5,93E-05
1443;5,89E-05
1444;5,84E-05
1445;5,81E-05
1446;5,77E-05
1447;5,76E-05
1448;5,76E-05
1449;5,72E-05
1450;5,72E-05
1451;5,71E-05
1452;5,72E-05
1453;5,73E-05
1454;5,72E-05
1455;5,74E-05
1456;5,75E-05
1457;5,75E-05
1458;5,80E-05
1459;5,79E-05
1460;5,82E-05
1461;5,84E-05
1462;5,87E-05
1463;5,92E-05
1464;5,94E-05
1465;5,97E-05
1466;5,99E-05
1467;6,04E-05
1468;6,06E-05
1469;6,10E-05
1470;6,13E-05
1471;6,17E-05
1472;6,22E-05
1473;6,25E-05
1474;6,27E-05
1475;6,29E-05
1476;6,31E-05
1477;6,38E-05
1478;6,41E-05
1479;6,42E-05
1480;6,45E-05
1481;6,52E-05
1482;6,55E-05
1483;6,58E-05
1484;6,62E-05
1485;6,67E-05
1486;6,69E-05
1487;6,74E-05
1488;6,78E-05
1489;6,80E-05
1490;6,84E-05
1491;6,89E-05
1492;6,94E-05
1493;6,96E-05
1494;6,99E-05
